RXCUI|INGREDIENT|ING_RXCUI
1000384|Medroxyprogesterone|6691
1000386|Medroxyprogesterone|6691
1000405|Norethindrone|7514
1000407|Norethindrone|7514
1000480|Bisacodyl|1596
1000480|POLYETHYLENE GLYCOL 3350|221147
1000480|Potassium Chloride|8591
1000480|Sodium Chloride|9863
1000480|Sodium Bicarbonate|36676
1000487|Estrogens, Conjugated (USP)|4099
1000487|Medroxyprogesterone|6691
1000491|Estrogens, Conjugated (USP)|4099
1000491|Medroxyprogesterone|6691
1000495|resveratrol|1000492
1000497|Estrogens, Conjugated (USP)|4099
1000497|Medroxyprogesterone|6691
1000498|Vitamin A|11246
1000498|Beta Carotene|19143
1000499|Estrogens, Conjugated (USP)|4099
1000499|Medroxyprogesterone|6691
1000500|Estrogens, Conjugated (USP)|4099
1000500|Medroxyprogesterone|6691
1000555|Sulfur|10223
1000555|Sulfacetamide|10169
1000556|Fluorometholone|4491
1000556|Sulfacetamide|10169
1000558|Fluorometholone|4491
1000558|Sulfacetamide|10169
1000592|autologous cultured chondrocytes|1000589
1000596|autologous cultured chondrocytes|1000589
1000636|dimethicone|324072
1000638|Pilocarpine|8328
1000642|Pilocarpine|8328
1000647|Pilocarpine|8328
1000656|Pilocarpine|8328
1000660|Pilocarpine|8328
1000664|Pilocarpine|8328
1000668|Pilocarpine|8328
1000670|Pilocarpine|8328
1000673|Sulfacetamide|10169
1000678|Sulfacetamide|10169
1000682|Sulfacetamide|10169
1000713|Sulfacetamide|10169
1000717|Sulfacetamide|10169
1000731|Sulfur|10223
1000731|Sulfacetamide|10169
1000736|Sulfur|10223
1000736|Sulfacetamide|10169
1000859|Sulfur|10223
1000859|Sulfacetamide|10169
1000861|Sulfur|10223
1000861|Sulfacetamide|10169
1000862|Pilocarpine|8328
1000870|Pilocarpine|8328
1000876|Pilocarpine|8328
1000895|Sulfur|10223
1000895|Sulfacetamide|10169
1000897|Pilocarpine|8328
1000903|Pilocarpine|8328
1000907|Pilocarpine|8328
1000913|Pilocarpine|8328
1000915|Pilocarpine|8328
1000921|Sulfur|10223
1000921|Sulfacetamide|10169
1000939|Pilocarpine|8328
1000946|Sulfur|10223
1000946|Sulfacetamide|10169
1000976|Sulfur|10223
1000976|Sulfacetamide|10169
1000978|Oxymetazoline|7812
1000981|Oxymetazoline|7812
1000985|Oxymetazoline|7812
1000990|Oxymetazoline|7812
1000992|Oxymetazoline|7812
1000994|Oxymetazoline|7812
1000996|Oxymetazoline|7812
1001002|Oxymetazoline|7812
1001004|Pilocarpine|8328
1001006|Pilocarpine|8328
1001010|Oxymetazoline|7812
1001020|Oxymetazoline|7812
1001029|Oxymetazoline|7812
1001054|Oxymetazoline|7812
1001058|Oxymetazoline|7812
1001066|Oxymetazoline|7812
1001079|Epinephrine|3992
1001079|Pilocarpine|8328
1001081|Oxymetazoline|7812
1001082|Epinephrine|3992
1001082|Pilocarpine|8328
1001084|Oxymetazoline|7812
1001086|Epinephrine|3992
1001086|Pilocarpine|8328
1001089|Epinephrine|3992
1001089|Pilocarpine|8328
1001397|Calcium Carbonate|1897
1001397|Ergocalciferol|4018
1001405|docetaxel|72962
1001407|docetaxel|72962
1001409|Calcium Carbonate|1897
1001409|Ergocalciferol|4018
1001411|Pilocarpine|8328
1001426|Castor Oil|2129
1001426|Peruvian balsam|33219
1001426|TRYPSIN|10890
1001433|cabazitaxel|996051
1001437|Caffeine|1886
1001437|Magnesium Salicylate|52364
1001459|Caffeine|1886
1001459|Magnesium Salicylate|52364
1001476|Aspirin|1191
1001591|Fibrinogen|4385
1001591|Thrombin|10528
1001593|Fibrinogen|4385
1001593|Thrombin|10528
1001601|Fibrinogen|4385
1001601|Thrombin|10528
1001603|Fibrinogen|4385
1001603|Thrombin|10528
1001657|Vitamin B 12|11248
1001659|Calcium Carbonate|1897
1001659|Cholecalciferol|2418
1001659|Soybean preparation|287515
1001660|Vitamin B 12|11248
1001679|Calcium Carbonate|1897
1001679|Cholecalciferol|2418
1001679|Magnesium Oxide|6582
1001690|Magnesium Sulfate|6585
1001690|potassium sulfate|34323
1001690|sodium sulfate|36721
1001691|Calcium Carbonate|1897
1001691|Vitamin K 1|8308
1001691|Cholecalciferol|2418
1001692|Calcium Carbonate|1897
1001692|Ergocalciferol|4018
1001692|Vitamin K 1|8308
1001714|Sulfur|10223
1001714|Sulfacetamide|10169
1001718|Sulfur|10223
1001718|Sulfacetamide|10169
1001751|Calcium Citrate|47613
1001751|Cholecalciferol|2418
1001758|Ergocalciferol|4018
1001758|Calcium Citrate|47613
1002300|nilotinib|662281
1005701|Vitamin D|11253
1005701|Calcium Citrate|47613
1005705|Vitamin D|11253
1005705|Calcium Citrate|47613
1005706|Vitamin D|11253
1005706|Calcium Citrate|47613
1005711|Meprobamate|6760
1005711|pentaerythritol|33055
1005714|pentaerythritol|33055
1005714|Phenobarbital|8134
1005715|pentaerythritol|33055
1005715|Phenobarbital|8134
1005716|pentaerythritol|33055
1005750|Calcium Carbonate|1897
1005750|Cholecalciferol|2418
1005750|soy protein isolate|196238
1005767|Sulfur|10223
1005767|Sulfacetamide|10169
1005771|Sulfur|10223
1005771|Sulfacetamide|10169
1005819|Sulfur|10223
1005819|Sulfacetamide|10169
1005829|Sulfur|10223
1005829|Sulfacetamide|10169
1005831|prednisolone|8638
1005834|Sulfur|10223
1005834|Sulfacetamide|10169
1005835|Sulfur|10223
1005835|Sulfacetamide|10169
1005845|Sulfur|10223
1005845|Sulfacetamide|10169
1005853|Sulfur|10223
1005853|Sulfacetamide|10169
1005855|Sulfur|10223
1005855|Sulfacetamide|10169
1005856|Sulfur|10223
1005856|Sulfacetamide|10169
1005905|halobetasol|41208
1005905|Lactate|114202
1005908|Lactate|114202
1005908|halobetasol|41208
1005924|ulipristal|1005921
1005928|ulipristal|1005921
1006057|Sulfur|10223
1006057|Sulfacetamide|10169
1006065|Ethinyl Estradiol|4124
1006065|Levonorgestrel|6373
1006065|Inert Ingredients|748794
1006077|Benzocaine|1399
1006077|Menthol|6750
1006079|Menthol|6750
1006079|Benzocaine|1399
1006102|Camphor|1952
1006102|Menthol|6750
1006102|methyl salicylate|29787
1006102|Thymol|10553
1006105|Sulfur|10223
1006105|Sulfacetamide|10169
1006107|Sulfacetamide|10169
1006110|Sulfacetamide|10169
1006114|Sulfacetamide|10169
1006116|Sulfacetamide|10169
1006120|Sulfacetamide|10169
1006122|Sulfacetamide|10169
1006230|Ergocalciferol|4018
1006230|Vitamin A|11246
1006266|Benzocaine|1399
1006279|Influenza Virus Vaccine, Inactivated B-Brisbane-60-2008 strain|857921
1006279|Influenza Virus Vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain|1005931
1006279|Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1) strain|1006250
1006286|Influenza Virus Vaccine, Inactivated B-Brisbane-60-2008 strain|857921
1006286|Influenza Virus Vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain|1005931
1006286|Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1) strain|1006250
1006357|Russian thistle pollen extract|852158
1006374|mango blossom pollen extract|1006371
1006376|mango blossom pollen extract|1006371
1006439|Sodium Fluoride|9873
1006445|Polyethylene Glycols|8516
1006445|Propylene glycol|34693
1006474|mango blossom pollen extract|1006371
1006476|mango blossom pollen extract|1006371
1006478|mango blossom pollen extract|1006371
1006480|black oak pollen extract|852260
1006484|nettle pollen extract|852046
1006486|nettle pollen extract|852046
1006488|nettle pollen extract|852046
1006490|rough cocklebur pollen extract|995600
1006492|rough cocklebur pollen extract|995600
1006498|Indian wormwood sage pollen extract|1006495
1006509|tall oat grass pollen extract|1006506
1006558|Sodium Fluoride|9873
1006608|dexmethylphenidate|352372
1006610|dexmethylphenidate|352372
1006650|Sorbitol|9945
1006673|Methylcellulose|6873
1006675|Methylcellulose|6873
1006679|Urea|11002
1006683|Sulfacetamide|10169
1006684|Sulfacetamide|10169
1006685|Sulfacetamide|10169
1006686|Sulfacetamide|10169
1006688|Sulfacetamide|10169
1006693|Sulfacetamide|10169
1006703|Sulfacetamide|10169
1006710|Sulfacetamide|10169
1006712|Sulfacetamide|10169
1006791|Dexamethasone|3264
1006801|Clozapine|2626
1006803|Clozapine|2626
1009145|Amphetamine|725
1009145|Dextroamphetamine|3288
1009147|Amphetamine|725
1009147|Dextroamphetamine|3288
1009212|Immunoglobulin G|5666
1009216|Epoprostenol|8814
1009220|Amlodipine|17767
1009220|aliskiren|325646
1009239|Sodium Bicarbonate|36676
1009241|Sodium Bicarbonate|36676
1009247|Amlodipine|17767
1009247|aliskiren|325646
1009249|Amlodipine|17767
1009249|aliskiren|325646
1009253|Amlodipine|17767
1009253|aliskiren|325646
1009315|Amlodipine|17767
1009315|aliskiren|325646
1009319|Amlodipine|17767
1009319|aliskiren|325646
1009320|Amlodipine|17767
1009320|aliskiren|325646
1009324|Amlodipine|17767
1009324|aliskiren|325646
1009339|bimatoprost|283810
1009341|bimatoprost|283810
1009375|Benzocaine|1399
1009416|Lidocaine|6387
1009428|Lutein|11359
1009433|Lidocaine|6387
1009450|wasabi preparation|1009447
1009454|coffee fruit preparation|1009451
1009456|incobotulinumtoxin A|1000104
1009459|incobotulinumtoxin A|1000104
1009462|Lidocaine|6387
1009463|Sodium Chloride|9863
1009464|Lidocaine|6387
1009473|Calcium Citrate|47613
1009473|Vitamin D|11253
1009480|Testosterone|10379
1010033|Lidocaine|6387
1010035|Lidocaine|6387
1010040|Testosterone|10379
1010053|Lidocaine|6387
1010057|Lidocaine|6387
1010077|Lidocaine|6387
1010234|Sulfur|10223
1010234|Sulfacetamide|10169
1010238|Sulfur|10223
1010238|Sulfacetamide|10169
1010296|Lidocaine|6387
1010600|Naloxone|7242
1010600|Buprenorphine|1819
1010603|Naloxone|7242
1010603|Buprenorphine|1819
1010604|Buprenorphine|1819
1010604|Naloxone|7242
1010606|Buprenorphine|1819
1010606|Naloxone|7242
1010608|Naloxone|7242
1010608|Buprenorphine|1819
1010609|Buprenorphine|1819
1010609|Naloxone|7242
1010618|Lidocaine|6387
1010620|Lidocaine|6387
1010622|Testosterone|10379
1010630|Testosterone|10379
1010654|Methocarbamol|6845
1010671|Lidocaine|6387
1010673|Lidocaine|6387
1010677|Epinephrine|3992
1010677|Lidocaine|6387
1010681|Epinephrine|3992
1010681|Lidocaine|6387
1010683|Epinephrine|3992
1010683|Lidocaine|6387
1010687|Epinephrine|3992
1010687|Lidocaine|6387
1010688|Epinephrine|3992
1010688|Lidocaine|6387
1010692|Epinephrine|3992
1010692|Lidocaine|6387
1010696|carbinoxamine|20220
1010739|Lidocaine|6387
1010740|Lidocaine|6387
1010745|Epinephrine|3992
1010745|Lidocaine|6387
1010749|Epinephrine|3992
1010749|Lidocaine|6387
1010751|Epinephrine|3992
1010751|Lidocaine|6387
1010755|Epinephrine|3992
1010755|Lidocaine|6387
1010759|Epinephrine|3992
1010759|Lidocaine|6387
1010763|Epinephrine|3992
1010763|Lidocaine|6387
1010764|Epinephrine|3992
1010764|Lidocaine|6387
1010768|Epinephrine|3992
1010768|Lidocaine|6387
1010769|Lidocaine|6387
1010774|Lidocaine|6387
1010793|Lidocaine|6387
1010799|Lidocaine|6387
1010823|Menthol|6750
1010835|Lidocaine|6387
1010836|Lidocaine|6387
1010844|Lidocaine|6387
1010846|Lidocaine|6387
1010860|Lidocaine|6387
1010878|Lidocaine|6387
1010895|Lidocaine|6387
1010897|Hydromorphone|3423
1010898|Hydromorphone|3423
1010899|Lidocaine|6387
1010900|Lidocaine|6387
1010902|Lidocaine|6387
1010912|Norepinephrine|7512
1010920|Ondansetron|26225
1010931|Lidocaine|6387
1011080|Tobramycin|10627
1011080|Dexamethasone|3264
1011081|Ethinyl Estradiol|4124
1011081|drospirenone|11636
1011081|Inert Ingredients|748794
1011087|ALPHA-D-GALACTOSIDASE ENZYME|259351
1011093|Lidocaine|6387
1011131|Lidocaine|6387
1011252|Lidocaine|6387
1011272|Lidocaine|6387
1011482|Cetirizine|20610
1011485|Cetirizine|20610
1011625|pegaptanib|498509
1011626|pegaptanib|498509
1011646|Epinephrine|3992
1011646|Articaine|592464
1011648|Epinephrine|3992
1011648|Articaine|592464
1011653|Pegloticase|1011650
1011657|Pegloticase|1011650
1011703|Lidocaine|6387
1011705|Lidocaine|6387
1011707|Lidocaine|6387
1011709|Lidocaine|6387
1011710|Hydrochlorothiazide|5487
1011710|aliskiren|325646
1011712|Hydrochlorothiazide|5487
1011712|aliskiren|325646
1011713|Hydrochlorothiazide|5487
1011713|aliskiren|325646
1011715|Hydrochlorothiazide|5487
1011715|aliskiren|325646
1011718|valsartan|69749
1011718|aliskiren|325646
1011726|Lidocaine|6387
1011729|valsartan|69749
1011729|aliskiren|325646
1011736|aliskiren|325646
1011738|aliskiren|325646
1011739|aliskiren|325646
1011741|aliskiren|325646
1011749|Lidocaine|6387
1011750|Hydrochlorothiazide|5487
1011750|aliskiren|325646
1011752|Hydrochlorothiazide|5487
1011752|aliskiren|325646
1011753|Hydrochlorothiazide|5487
1011753|aliskiren|325646
1011755|Hydrochlorothiazide|5487
1011755|aliskiren|325646
1011767|Lidocaine|6387
1011809|Epinephrine|3992
1011809|Lidocaine|6387
1011814|Epinephrine|3992
1011814|Lidocaine|6387
1011820|Epinephrine|3992
1011820|Lidocaine|6387
1011825|Epinephrine|3992
1011825|Lidocaine|6387
1011831|Lidocaine|6387
1011833|Lidocaine|6387
1011838|Lidocaine|6387
1011839|Benzalkonium|1378
1011839|Lidocaine|6387
1011841|Benzalkonium|1378
1011841|Lidocaine|6387
1011843|Lidocaine|6387
1011843|Benzethonium|1390
1011845|Lidocaine|6387
1011845|Benzethonium|1390
1011849|Lidocaine|6387
1011851|Lidocaine|6387
1011852|Lidocaine|6387
1011854|Lidocaine|6387
1011870|Nicotine|7407
1011872|Nicotine|7407
1011875|Sulfur|10223
1011875|Sulfacetamide|10169
1011972|Botrytis cinerea extract|466195
1011974|Fusarium compactum extract|999457
1011976|wheat stem rust extract|999487
1011979|Sulfacetamide|10169
1011979|prednisolone|8638
1011983|Benzalkonium|1378
1011983|Lidocaine|6387
1011985|Sulfacetamide|10169
1011985|prednisolone|8638
1011987|Sulfacetamide|10169
1011987|prednisolone|8638
1011993|Trichothecium roseum extract|968426
1012000|Sulfacetamide|10169
1012000|prednisolone|8638
1012015|Sulfacetamide|10169
1012015|prednisolone|8638
1012017|Sulfacetamide|10169
1012017|prednisolone|8638
1012019|Lidocaine|6387
1012021|Sulfacetamide|10169
1012021|prednisolone|8638
1012025|Sulfacetamide|10169
1012025|prednisolone|8638
1012033|Fusarium compactum extract|999457
1012035|Epicoccum nigrum extract|852466
1012039|Fusarium compactum extract|999457
1012047|Pullularia extract|852102
1012051|Cochliobolus sativus extract|852398
1012060|Lidocaine|6387
1012062|Lidocaine|6387
1012064|Lidocaine|6387
1012066|Lidocaine|6387
1012068|Lidocaine|6387
1012080|Sulfacetamide|10169
1012080|prednisolone|8638
1012081|Benzalkonium|1378
1012081|Lidocaine|6387
1012099|Benzalkonium|1378
1012099|Lidocaine|6387
1012100|Benzalkonium|1378
1012100|Lidocaine|6387
1012102|wheat stem rust extract|999487
1012104|Lidocaine|6387
1012104|Benzethonium|1390
1012106|wheat stem rust extract|999487
1012108|Lidocaine|6387
1012108|Bupivacaine|1815
1012133|Dexamethasone|3264
1012133|Lidocaine|6387
1012146|Eurotium herbariorum extract|999450
1012148|Eurotium herbariorum extract|999450
1012150|Sulfacetamide|10169
1012150|prednisolone|8638
1012154|Eurotium herbariorum extract|999450
1012164|Acetaminophen|161
1012164|Codeine|2670
1012171|Rhizopus oryzae extract|314443
1012175|Sulfacetamide|10169
1012175|prednisolone|8638
1012178|Epinephrine|3992
1012178|Lidocaine|6387
1012188|Sulfacetamide|10169
1012188|prednisolone|8638
1012221|Hydrocortisone|5492
1012221|Lidocaine|6387
1012223|Lidocaine|6387
1012223|Hydrocortisone|5492
1012226|Hydrocortisone|5492
1012226|Lidocaine|6387
1012229|Hydrocortisone|5492
1012229|Lidocaine|6387
1012233|Lidocaine|6387
1012233|Hydrocortisone|5492
1012235|Lidocaine|6387
1012235|Hydrocortisone|5492
1012238|Lidocaine|6387
1012238|Hydrocortisone|5492
1012245|Lidocaine|6387
1012245|Hydrocortisone|5492
1012268|Epinephrine|3992
1012268|Etidocaine|4171
1012274|Epinephrine|3992
1012274|Etidocaine|4171
1012279|Etidocaine|4171
1012373|Glucose|4850
1012377|Epinephrine|3992
1012377|Bupivacaine|1815
1012381|Epinephrine|3992
1012381|Bupivacaine|1815
1012384|Epinephrine|3992
1012384|Bupivacaine|1815
1012388|Epinephrine|3992
1012388|Bupivacaine|1815
1012391|Epinephrine|3992
1012391|Bupivacaine|1815
1012396|Bupivacaine|1815
1012400|Bupivacaine|1815
1012404|Bupivacaine|1815
1012406|Bupivacaine|1815
1012407|Bupivacaine|1815
1012409|Bupivacaine|1815
1012413|Epinephrine|3992
1012413|Bupivacaine|1815
1012417|Epinephrine|3992
1012417|Bupivacaine|1815
1012421|Epinephrine|3992
1012421|Bupivacaine|1815
1012423|Bupivacaine|1815
1012425|Bupivacaine|1815
1012427|Bupivacaine|1815
1012429|Bupivacaine|1815
1012433|Bupivacaine|1815
1012435|Bupivacaine|1815
1012450|Bupivacaine|1815
1012455|Bupivacaine|1815
1012457|Bupivacaine|1815
1012459|Bupivacaine|1815
1012461|Epinephrine|3992
1012461|Bupivacaine|1815
1012465|Dantrolene|3105
1012467|Levobupivacaine|259453
1012471|Levobupivacaine|259453
1012475|Levobupivacaine|259453
1012522|Lanolin|6227
1012567|Lidocaine|6387
1012567|Hydrocortisone|5492
1012583|Lidocaine|6387
1012585|carbinoxamine|20220
1012585|Pseudoephedrine|8896
1012594|Lidocaine|6387
1012609|ferrous sulfate|24947
1012628|Lidocaine|6387
1012628|Hydrocortisone|5492
1012637|Fentanyl|4337
1012637|Bupivacaine|1815
1012649|Fentanyl|4337
1012649|Bupivacaine|1815
1012656|Hydromorphone|3423
1012656|Bupivacaine|1815
1012661|Fentanyl|4337
1012661|Bupivacaine|1815
1012663|Fentanyl|4337
1012663|Bupivacaine|1815
1012664|Fentanyl|4337
1012664|Bupivacaine|1815
1012665|Fentanyl|4337
1012665|Bupivacaine|1815
1012666|Hydromorphone|3423
1012666|Bupivacaine|1815
1012667|Hydromorphone|3423
1012667|Bupivacaine|1815
1012668|Fentanyl|4337
1012668|Bupivacaine|1815
1012669|Fentanyl|4337
1012669|Bupivacaine|1815
1012671|Fentanyl|4337
1012671|Bupivacaine|1815
1012672|Fentanyl|4337
1012672|Bupivacaine|1815
1012677|Fentanyl|4337
1012677|Bupivacaine|1815
1012678|Hydromorphone|3423
1012678|Bupivacaine|1815
1012679|Hydromorphone|3423
1012679|Bupivacaine|1815
1012688|Fentanyl|4337
1012688|Bupivacaine|1815
1012689|Fentanyl|4337
1012689|Bupivacaine|1815
1012690|Phenylephrine|8163
1012690|carbinoxamine|20220
1012695|Fentanyl|4337
1012695|Bupivacaine|1815
1012696|Fentanyl|4337
1012696|Bupivacaine|1815
1012697|Fentanyl|4337
1012697|Bupivacaine|1815
1012698|Fentanyl|4337
1012698|Bupivacaine|1815
1012705|Prilocaine|8686
1012706|Prilocaine|8686
1012707|Epinephrine|3992
1012707|Prilocaine|8686
1012709|Epinephrine|3992
1012709|Prilocaine|8686
1012711|Prilocaine|8686
1012717|Prilocaine|8686
1012722|Mepivacaine|6759
1012724|Mepivacaine|6759
1012726|Mepivacaine|6759
1012731|Mepivacaine|6759
1012733|Mepivacaine|6759
1012735|Mepivacaine|6759
1012737|Mepivacaine|6759
1012739|Mepivacaine|6759
1012741|Mepivacaine|6759
1012743|Mepivacaine|6759
1012745|Mepivacaine|6759
1012747|Mepivacaine|6759
1012756|Mepivacaine|6759
1012757|Phenylephrine|8163
1012757|carbinoxamine|20220
1012762|Mepivacaine|6759
1012764|carbinoxamine|20220
1012764|Phenylephrine|8163
1012766|carbinoxamine|20220
1012766|Phenylephrine|8163
1012767|Levonordefrin|132889
1012767|Mepivacaine|6759
1012769|Levonordefrin|132889
1012769|Mepivacaine|6759
1012774|Levonordefrin|132889
1012774|Mepivacaine|6759
1012779|Levonordefrin|132889
1012779|Mepivacaine|6759
1012785|Levonordefrin|132889
1012785|Mepivacaine|6759
1012789|Pseudoephedrine|8896
1012789|carbinoxamine|20220
1012789|Dextromethorphan|3289
1012895|fingolimod|1012892
1012899|fingolimod|1012892
1012903|carbinoxamine|20220
1012904|carbinoxamine|20220
1012906|carbinoxamine|20220
1012940|carbinoxamine|20220
1012940|Pseudoephedrine|8896
1012942|carbinoxamine|20220
1012942|Pseudoephedrine|8896
1012945|carbinoxamine|20220
1012945|Pseudoephedrine|8896
1012950|carbinoxamine|20220
1012955|Lidocaine|6387
1012963|Phenylephrine|8163
1012963|carbinoxamine|20220
1012966|Lidocaine|6387
1012972|carbinoxamine|20220
1012980|carbinoxamine|20220
1012980|Pseudoephedrine|8896
1012982|carbinoxamine|20220
1012991|Oxytetracycline|7821
1012991|Lidocaine|6387
1012992|Menthol|6750
1012992|Lidocaine|6387
1012995|carbinoxamine|20220
1012999|phenol|33290
1012999|Lidocaine|6387
1013034|Sulfur|10223
1013034|Sulfacetamide|10169
1013038|Lidocaine|6387
1013040|Lidocaine|6387
1013611|Pseudoephedrine|8896
1013611|Chlorpheniramine|2400
1013619|Phenylephrine|8163
1013619|Chlorpheniramine|2400
1013628|Levomefolic Acid|1025342
1013630|Ethinyl Estradiol|4124
1013630|drospirenone|11636
1013630|Levomefolic Acid|1025342
1013636|calcipotriene|29365
1013647|Chondroitin Sulfates|2473
1013647|Glucosamine|4845
1013649|krill oil|880350
1013659|Minocycline|6980
1013662|Minocycline|6980
1013665|Minocycline|6980
1013725|Hydromorphone|3423
1013731|Phenylephrine|8163
1013731|Pyrilamine|9009
1013865|alpha 1-Antitrypsin|535
1013867|alpha 1-Antitrypsin|535
1013869|european olive pollen extract|852653
1013871|european olive pollen extract|852653
1013873|yellow pine pollen extract|852716
1013875|yellow pine pollen extract|852716
1013883|loblolly pine pollen extract|900770
1013885|loblolly pine pollen extract|900770
1013887|black walnut pollen extract|852569
1013900|English walnut pollen extract|852577
1013902|English walnut pollen extract|852577
1013904|English walnut pollen extract|852577
1013910|loblolly pine pollen extract|900770
1013912|loblolly pine pollen extract|900770
1013916|scrub pine pollen extract|1013913
1013923|scrub pine pollen extract|1013913
1013925|scrub pine pollen extract|1013913
1013927|scrub pine pollen extract|1013913
1013930|Clonidine|2599
1013934|Clonidine|2599
1013937|Clonidine|2599
1013939|Clonidine|2599
1013942|eastern sycamore pollen extract|852746
1013947|water oak pollen extract|1013944
1013951|water oak pollen extract|1013944
1013953|water oak pollen extract|1013944
1013957|red oak pollen extract|852268
1013959|red oak pollen extract|852268
1013961|red oak pollen extract|852268
1013966|canary grass pollen extract|852697
1013968|American basswood pollen extract|995754
1013970|Greasewood pollen extract|852152
1013972|dandelion pollen extract|852079
1013974|dandelion pollen extract|852079
1013976|Greasewood pollen extract|852152
1013980|dandelion pollen extract|852079
1013982|Greasewood pollen extract|852152
1013984|Greasewood pollen extract|852152
1014002|dandelion pollen extract|852079
1014005|Guaifenesin|5032
1014005|Dextromethorphan|3289
1014018|Minocycline|6980
1014022|Minocycline|6980
1014024|Minocycline|6980
1014099|Docosahexaenoate|73
1014099|Eicosapentaenoate|618597
1014111|Menthol|6750
1014111|methyl salicylate|29787
1014121|ropivacaine|35780
1014121|Sufentanil|56795
1014123|Sulfur|10223
1014123|Sulfacetamide|10169
1014130|Sodium Chloride|9863
1014132|Sodium Chloride|9863
1014137|Sodium Chloride|9863
1014195|chloroxylenol|20877
1014195|pramoxine|34347
1014197|chloroxylenol|20877
1014197|pramoxine|34347
1014199|jute fiber extract|852412
1014203|jute fiber extract|852412
1014205|jute fiber extract|852412
1014218|Hydromorphone|3423
1014218|Bupivacaine|1815
1014222|pussy willow pollen extract|852174
1014225|pussy willow pollen extract|852174
1014230|Arroyo willow pollen extract|852170
1014242|Linoleic Acids, Conjugated|382272
1014256|Phenylephrine|8163
1014256|Pyrilamine|9009
1014268|privet pollen extract|852622
1014284|Petrolatum|8091
1014284|dimethicone|324072
1014303|Fibrinogen|4385
1014303|Thrombin|10528
1014305|Fibrinogen|4385
1014305|Thrombin|10528
1014307|privet pollen extract|852622
1014309|sweet gum pollen extract|852627
1014311|sweet gum pollen extract|852627
1014314|Triamcinolone|10759
1014318|Triamcinolone|10759
1014320|Arroyo willow pollen extract|852170
1014324|Arroyo willow pollen extract|852170
1014326|Arroyo willow pollen extract|852170
1014333|Pseudoephedrine|8896
1014333|Brompheniramine|1767
1014333|chlophedianol|21254
1014335|black willow pollen extract|852162
1014339|burning bush pollen extract|852593
1014345|Italian rye grass pollen extract|1014340
1014347|Italian rye grass pollen extract|1014340
1014349|western white pine pollen extract|900743
1014357|western white pine pollen extract|900743
1014359|western white pine pollen extract|900743
1014363|longleaf pine pollen extract|1014360
1014369|house dust mite extract, Dermatophagoides pteronyssinus|852826
1014382|house dust mite extract, Dermatophagoides farinae|852810
1014384|house dust mite extract, Dermatophagoides pteronyssinus|852826
1014388|Bermuda grass smut extract|1014385
1014390|Bermuda grass smut extract|1014385
1014394|Humicola grisea extract|1014391
1014405|Folic Acid|4511
1014405|Polysaccharide iron complex|105669
1014405|Ascorbic Acid|1151
1014410|Mucor extract|852687
1014431|Tryptophan|10898
1014431|Threonine|10524
1014431|Cysteine|3024
1014431|Phenylalanine|8156
1014431|Alanine|426
1014431|Arginine|1091
1014431|Glycine|4919
1014431|Histidine|5340
1014431|Isoleucine|6033
1014431|Leucine|6308
